[2018-06-09 18:46:10,523] {C:/Users/Siddi/PycharmProjects/IPL_Prediction/IPLStats/DF/main.py:29} INFO - Data Directory - C:\Users\Siddi\PycharmProjects\IPL_Prediction\IPLStats\Data\Yaml\
[2018-06-09 18:47:07,828] {C:/Users/Siddi/PycharmProjects/IPL_Prediction/IPLStats/DF/main.py:16} INFO - Process Start
[2018-06-09 18:47:07,829] {C:/Users/Siddi/PycharmProjects/IPL_Prediction/IPLStats/DF/main.py:18} INFO - Reading Config
[2018-06-09 18:47:07,829] {C:/Users/Siddi/PycharmProjects/IPL_Prediction/IPLStats/DF/main.py:29} INFO - Data Directory - C:\Users\Siddi\PycharmProjects\IPL_Prediction\IPLStats\Data\Yaml\
[2018-06-09 18:47:32,743] {C:/Users/Siddi/PycharmProjects/IPL_Prediction/IPLStats/DF/main.py:16} INFO - Process Start
[2018-06-09 18:47:32,743] {C:/Users/Siddi/PycharmProjects/IPL_Prediction/IPLStats/DF/main.py:18} INFO - Reading Config
[2018-06-09 18:47:32,743] {C:/Users/Siddi/PycharmProjects/IPL_Prediction/IPLStats/DF/main.py:29} INFO - Data Directory - C:\Users\Siddi\PycharmProjects\IPL_Prediction\IPLStats\Data\Yaml\
[2018-06-09 18:49:10,769] {C:/Users/Siddi/PycharmProjects/IPL_Prediction/IPLStats/DF/main.py:16} INFO - Process Start
[2018-06-09 18:49:10,769] {C:/Users/Siddi/PycharmProjects/IPL_Prediction/IPLStats/DF/main.py:18} INFO - Reading Config
[2018-06-09 18:49:10,769] {C:/Users/Siddi/PycharmProjects/IPL_Prediction/IPLStats/DF/main.py:29} INFO - Data Directory - C:\Users\Siddi\PycharmProjects\IPL_Prediction\IPLStats\Data\Yaml\
[2018-06-09 18:52:57,415] {C:/Users/Siddi/PycharmProjects/IPL_Prediction/IPLStats/DF/main.py:16} INFO - Process Start
[2018-06-09 18:52:57,416] {C:/Users/Siddi/PycharmProjects/IPL_Prediction/IPLStats/DF/main.py:18} INFO - Reading Config
[2018-06-09 18:52:57,416] {C:/Users/Siddi/PycharmProjects/IPL_Prediction/IPLStats/DF/main.py:29} INFO - Data Directory - C:\Users\Siddi\PycharmProjects\IPL_Prediction\IPLStats\Data\Yaml\
[2018-06-09 18:54:09,262] {C:/Users/Siddi/PycharmProjects/IPL_Prediction/IPLStats/DF/main.py:16} INFO - Process Start
[2018-06-09 18:54:09,262] {C:/Users/Siddi/PycharmProjects/IPL_Prediction/IPLStats/DF/main.py:18} INFO - Reading Config
[2018-06-09 18:54:09,262] {C:/Users/Siddi/PycharmProjects/IPL_Prediction/IPLStats/DF/main.py:29} INFO - Data Directory - C:\Users\Siddi\PycharmProjects\IPL_Prediction\IPLStats\Data\Yaml\
[2018-06-09 19:11:16,797] {C:/Users/Siddi/PycharmProjects/IPL_Prediction/IPLStats/DF/main.py:16} INFO - Process Start
[2018-06-09 19:11:16,797] {C:/Users/Siddi/PycharmProjects/IPL_Prediction/IPLStats/DF/main.py:18} INFO - Reading Config
[2018-06-09 19:11:16,798] {C:/Users/Siddi/PycharmProjects/IPL_Prediction/IPLStats/DF/main.py:29} INFO - Data Directory - C:\Users\Siddi\PycharmProjects\IPL_Prediction\IPLStats\Data\Yaml\
[2018-06-09 19:11:42,846] {C:/Users/Siddi/PycharmProjects/IPL_Prediction/IPLStats/DF/main.py:16} INFO - Process Start
[2018-06-09 19:11:42,846] {C:/Users/Siddi/PycharmProjects/IPL_Prediction/IPLStats/DF/main.py:18} INFO - Reading Config
[2018-06-09 19:11:42,846] {C:/Users/Siddi/PycharmProjects/IPL_Prediction/IPLStats/DF/main.py:29} INFO - Data Directory - C:\Users\Siddi\PycharmProjects\IPL_Prediction\IPLStats\Data\Yaml\
[2018-06-09 19:12:16,630] {C:/Users/Siddi/PycharmProjects/IPL_Prediction/IPLStats/DF/main.py:16} INFO - Process Start
[2018-06-09 19:12:16,630] {C:/Users/Siddi/PycharmProjects/IPL_Prediction/IPLStats/DF/main.py:18} INFO - Reading Config
[2018-06-09 19:12:16,631] {C:/Users/Siddi/PycharmProjects/IPL_Prediction/IPLStats/DF/main.py:29} INFO - Data Directory - C:\Users\Siddi\PycharmProjects\IPL_Prediction\IPLStats\Data\Yaml\
[2018-06-09 19:12:28,916] {C:/Users/Siddi/PycharmProjects/IPL_Prediction/IPLStats/DF/main.py:16} INFO - Process Start
[2018-06-09 19:12:28,916] {C:/Users/Siddi/PycharmProjects/IPL_Prediction/IPLStats/DF/main.py:18} INFO - Reading Config
[2018-06-09 19:12:28,916] {C:/Users/Siddi/PycharmProjects/IPL_Prediction/IPLStats/DF/main.py:29} INFO - Data Directory - C:\Users\Siddi\PycharmProjects\IPL_Prediction\IPLStats\Data\Yaml\
[2018-06-09 19:13:47,410] {C:/Users/Siddi/PycharmProjects/IPL_Prediction/IPLStats/DF/main.py:16} INFO - Process Start
[2018-06-09 19:13:47,410] {C:/Users/Siddi/PycharmProjects/IPL_Prediction/IPLStats/DF/main.py:18} INFO - Reading Config
[2018-06-09 19:13:47,411] {C:/Users/Siddi/PycharmProjects/IPL_Prediction/IPLStats/DF/main.py:29} INFO - Data Directory - C:\Users\Siddi\PycharmProjects\IPL_Prediction\IPLStats\Data\Yaml\
[2018-06-09 19:19:10,420] {C:/Users/Siddi/PycharmProjects/IPL_Prediction/IPLStats/DF/main.py:16} INFO - Process Start
[2018-06-09 19:19:10,420] {C:/Users/Siddi/PycharmProjects/IPL_Prediction/IPLStats/DF/main.py:18} INFO - Reading Config
[2018-06-09 19:19:10,421] {C:/Users/Siddi/PycharmProjects/IPL_Prediction/IPLStats/DF/main.py:29} INFO - Data Directory - C:\Users\Siddi\PycharmProjects\IPL_Prediction\IPLStats\Data\Yaml\
[2018-06-09 21:01:18,542] {C:/Users/Siddi/PycharmProjects/IPL_Prediction/IPLStats/DF/main.py:17} INFO - Process Start
[2018-06-09 21:01:18,542] {C:/Users/Siddi/PycharmProjects/IPL_Prediction/IPLStats/DF/main.py:19} INFO - Reading Config
[2018-06-09 21:01:18,543] {C:/Users/Siddi/PycharmProjects/IPL_Prediction/IPLStats/DF/main.py:30} INFO - Data Directory - C:\Users\Siddi\PycharmProjects\IPL_Prediction\IPLStats\Data\Yaml\
[2018-06-09 21:03:37,539] {C:/Users/Siddi/PycharmProjects/IPL_Prediction/IPLStats/DF/main.py:17} INFO - Process Start
[2018-06-09 21:03:37,540] {C:/Users/Siddi/PycharmProjects/IPL_Prediction/IPLStats/DF/main.py:19} INFO - Reading Config
[2018-06-09 21:03:37,540] {C:/Users/Siddi/PycharmProjects/IPL_Prediction/IPLStats/DF/main.py:30} INFO - Data Directory - C:\Users\Siddi\PycharmProjects\IPL_Prediction\IPLStats\Data\Yaml\
[2018-06-09 21:17:09,187] {C:/Users/Siddi/PycharmProjects/IPL_Prediction/IPLStats/DF/main.py:17} INFO - Process Start
[2018-06-09 21:17:09,188] {C:/Users/Siddi/PycharmProjects/IPL_Prediction/IPLStats/DF/main.py:19} INFO - Reading Config
[2018-06-09 21:17:09,189] {C:/Users/Siddi/PycharmProjects/IPL_Prediction/IPLStats/DF/main.py:30} INFO - Data Directory - C:\Users\Siddi\PycharmProjects\IPL_Prediction\IPLStats\Data\Yaml\
[2018-06-09 21:17:42,145] {C:/Users/Siddi/PycharmProjects/IPL_Prediction/IPLStats/DF/main.py:17} INFO - Process Start
[2018-06-09 21:17:42,146] {C:/Users/Siddi/PycharmProjects/IPL_Prediction/IPLStats/DF/main.py:19} INFO - Reading Config
[2018-06-09 21:17:42,146] {C:/Users/Siddi/PycharmProjects/IPL_Prediction/IPLStats/DF/main.py:30} INFO - Data Directory - C:\Users\Siddi\PycharmProjects\IPL_Prediction\IPLStats\Data\Yaml\
[2018-06-09 21:18:18,068] {C:/Users/Siddi/PycharmProjects/IPL_Prediction/IPLStats/DF/main.py:17} INFO - Process Start
[2018-06-09 21:18:18,069] {C:/Users/Siddi/PycharmProjects/IPL_Prediction/IPLStats/DF/main.py:19} INFO - Reading Config
[2018-06-09 21:18:18,069] {C:/Users/Siddi/PycharmProjects/IPL_Prediction/IPLStats/DF/main.py:30} INFO - Data Directory - C:\Users\Siddi\PycharmProjects\IPL_Prediction\IPLStats\Data\Yaml\
[2018-06-09 21:20:16,408] {C:/Users/Siddi/PycharmProjects/IPL_Prediction/IPLStats/DF/main.py:17} INFO - Process Start
[2018-06-09 21:20:16,408] {C:/Users/Siddi/PycharmProjects/IPL_Prediction/IPLStats/DF/main.py:19} INFO - Reading Config
